time,ax,ay,az,aT
5.9160,-0.0079,0.0039,-0.1765,0.177
5.9260,0.0240,0.0186,-0.1541,0.157
5.9350,0.0595,0.0224,-0.1555,0.168
5.9490,0.0605,0.0202,-0.1641,0.176
5.9550,0.0707,0.0005,-0.1357,0.153
5.9710,0.0588,-0.0135,-0.0489,0.078
5.9760,0.0509,-0.0299,-0.0067,0.059
5.9890,0.0740,-0.0495,0.0437,0.099
6.0180,0.0645,-0.0679,0.0498,0.106
6.0200,0.0624,-0.0788,0.0024,0.101
6.0210,0.0575,-0.0418,-0.0268,0.076
6.0260,0.0512,0.0166,-0.0207,0.058
6.0380,0.0792,0.0538,-0.0587,0.112
6.0510,0.0411,0.0497,-0.1695,0.181
6.0560,-0.0035,0.0030,-0.2693,0.269
6.0670,0.0088,-0.0211,-0.2386,0.240
6.0750,0.0482,-0.0278,-0.1527,0.163
6.0870,0.0400,-0.0200,-0.1251,0.133
6.1040,0.0521,-0.0435,-0.0993,0.120
6.1080,0.0727,-0.0380,-0.0512,0.097
6.1220,0.0408,-0.0402,-0.0259,0.063
6.1260,0.0041,-0.0406,0.0199,0.045
6.1370,-0.0927,-0.0179,0.0999,0.138
6.1500,-0.1015,-0.0127,0.0756,0.127
6.1550,-0.0678,-0.0288,-0.0747,0.105
6.1690,-0.0456,-0.0472,-0.3256,0.332
6.1750,-0.0979,-0.0110,-0.4349,0.446
6.1870,-0.0799,0.0406,-0.3937,0.404
6.2080,-0.0294,0.0849,-0.2291,0.246
6.2100,0.0871,0.0751,0.0262,0.118
6.2180,0.1766,0.0275,0.1163,0.213
6.2260,0.1461,-0.0166,0.1241,0.192
6.2360,0.0726,-0.0733,0.2240,0.247
6.2480,0.1050,-0.0869,0.2273,0.265
6.2550,0.1540,-0.0255,0.1465,0.214
6.2670,0.1308,0.0170,0.1063,0.169
6.2750,0.1144,0.0362,0.0597,0.134
